BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,howard
BB 13 Ordinance establishing Neosho & Adkins 3-way stop,Primary,howard
BB 31 Ordinance to Join Clean Energy Act,Co-Sponsor,howard
BB 53 Ordinance to move St.  Louis National Night Out,Primary,howard
BB 99 Collection of funds for prevention of domestic violence,Co-Sponsor,howard
BB 113 Street name change S. Sgt. Ron Bozikis,Co-Sponsor,howard
BB 132 Establishing the Office of Community Mediation,Primary,howard
BB 140 Redevelopment plan for 5335 Gilson,Primary,howard
BB 168 Ordinance repealing ordinance 70475 Whistleblower Law,Primary,howard
BB 194 Ordinance repealing employee residency requirement,Primary,howard
BB 241 Collection of fines assessed by the Building Commission,Co-Sponsor,howard
BB 242 Enforcement of Code Violations,Co-Sponsor,howard
BB 246 Additional sales tax and use tax established by Ord 7058,Co-Sponsor,howard
BB 251  two-way stop site at the intersection of Alfred Street and Bingham Street,Primary,howard
