BB 75 Ord. pertaining to dog training,Co-Sponsor,howard
BB 123 Allocation and approval of public funds,Co-Sponsor,howard
BB 133 Redev. plan for Bevo Mill Scattered Sites,Primary,howard
BB 155 Ord. pertaining to street vendors,Primary,howard
BB 167 Intergovernmental agreement,Co-Sponsor,howard
BB 175 Firemen's Retirement System,Co-Sponsor,howard
BB 176 Prohibiting liquor in 14th Ward,Primary,howard
BB 179 Liquor control law of the city,Co-Sponsor,howard
BB 270 Discontinuing accrual benefits under the Firemen's Retirement System,Co-Sponsor,howard
BB 271 Firefighters Retirement Plan,Co-Sponsor,howard
